_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal,Everything Merged,,depDOW
650c3f678386173002aae8d8,04:39.5,EK308,DXB,PEK,21/9/2023 06:40,21/9/2023 14:20,EK308DXBPEK45190.277777777845190.5972222222,,
650c3f678386173002aae8d9,04:39.9,QR6,LHR,DOH,21/9/2023 07:30,21/9/2023 14:10,QR6LHRDOH45190.312545190.5902777778,,
650c3f688386173002aae8da,04:40.4,EK449,AKL,DXB,21/9/2023 08:30,22/9/2023 01:35,EK449AKLDXB45190.354166666745191.0659722222,,
650c3f688386173002aae8db,04:40.9,SQ833,PVG,SIN,21/9/2023 08:50,21/9/2023 14:20,SQ833PVGSIN45190.368055555645190.5972222222,,
650c3f698386173002aae8dc,04:41.1,SQ406,SIN,DEL,21/9/2023 08:50,21/9/2023 14:40,SQ406SINDEL45190.368055555645190.6111111111,,
650c3f698386173002aae8dd,04:41.6,EY12,LHR,AUH,21/9/2023 08:30,21/9/2023 15:35,EY12LHRAUH45190.354166666745190.6493055556,,
650c3f6a8386173002aae8de,04:42.1,EK12,LGW,DXB,21/9/2023 09:05,21/9/2023 16:00,EK12LGWDXB45190.378472222245190.6666666667,,
650c3f6a8386173002aae8df,04:42.6,QR1,DOH,LHR,21/9/2023 09:40,21/9/2023 17:00,QR1DOHLHR45190.402777777845190.7083333333,,
650c3f6b8386173002aae8e0,04:43.1,EK72,CDG,DXB,21/9/2023 09:25,21/9/2023 16:00,EK72CDGDXB45190.392361111145190.6666666667,,
650c3f6b8386173002aae8e1,04:43.3,EK928,CAI,DXB,21/9/2023 10:10,21/9/2023 13:30,EK928CAIDXB45190.423611111145190.5625,,
650c3f6b8386173002aae8e2,04:43.8,EK903,DXB,AMM,21/9/2023 10:05,21/9/2023 13:00,EK903DXBAMM45190.420138888945190.5416666667,,
650c3f6c8386173002aae8e3,04:44.3,LH410,MUC,JFK,21/9/2023 10:10,21/9/2023 19:00,LH410MUCJFK45190.423611111145190.7916666667,,
650c3f6c8386173002aae8e4,04:44.5,EK3,DXB,LHR,21/9/2023 10:15,21/9/2023 17:40,EK3DXBLHR45190.427083333345190.7361111111,,
650c3f6d8386173002aae8e5,04:45.0,OZ741,ICN,BKK,21/9/2023 10:30,21/9/2023 16:10,OZ741ICNBKK45190.437545190.6736111111,,
650c3f6d8386173002aae8e6,04:45.2,EK75,DXB,CDG,21/9/2023 10:40,21/9/2023 18:00,EK75DXBCDG45190.444444444445190.75,,
650c3f6d8386173002aae8e7,04:45.7,BA207,LHR,MIA,21/9/2023 09:25,21/9/2023 18:45,BA207LHRMIA45190.392361111145190.78125,,
650c3f6e8386173002aae8e8,04:46.7,QR909,SYD,DOH,21/9/2023 11:00,22/9/2023 01:55,QR909SYDDOH45190.458333333345191.0798611111,,
650c3f6f8386173002aae8e9,04:47.1,EK19,DXB,MAN,21/9/2023 10:30,21/9/2023 18:15,EK19DXBMAN45190.437545190.7604166667,,
650c3f6f8386173002aae8ea,04:47.6,EK435,BNE,DXB,21/9/2023 11:00,22/9/2023 01:10,EK435BNEDXB45190.458333333345191.0486111111,,
650c3f708386173002aae8eb,04:48.1,SQ424,SIN,BOM,21/9/2023 11:00,21/9/2023 16:40,SQ424SINBOM45190.458333333345190.6944444444,,
650c3f708386173002aae8ec,04:48.3,NH184,NRT,HNL,21/9/2023 11:10,21/9/2023 18:45,NH184NRTHNL45190.465277777845190.78125,,
650c3f708386173002aae8ed,04:48.8,EK413,SYD,DXB,21/9/2023 11:10,22/9/2023 01:40,EK413SYDDXB45190.465277777845191.0694444444,,
650c3f718386173002aae8ee,04:49.3,EK407,MEL,DXB,21/9/2023 11:15,22/9/2023 01:15,EK407MELDXB45190.4687545191.0520833333,,
650c3f718386173002aae8ef,04:49.8,EK369,DPS,DXB,21/9/2023 11:40,21/9/2023 20:45,EK369DPSDXB45190.486111111145190.8645833333,,
650c3f728386173002aae8f0,04:50.3,EK9,DXB,LGW,21/9/2023 10:55,21/9/2023 18:45,EK9DXBLGW45190.454861111145190.78125,,
650c3f728386173002aae8f1,04:50.8,EK764,JNB,DXB,20/9/2023 17:15,21/9/2023 01:30,EK764JNBDXB45189.7187545190.0625,,
650c3f728386173002aae8f2,04:51.0,EK347,KUL,DXB,21/9/2023 11:20,21/9/2023 18:20,EK347KULDXB45190.472222222245190.7638888889,,
650c3f738386173002aae8f3,04:51.4,EK923,DXB,CAI,21/9/2023 11:15,21/9/2023 15:05,EK923DXBCAI45190.4687545190.6284722222,,
650c3f738386173002aae8f4,04:51.9,QF2,SIN,SYD,21/9/2023 11:30,21/9/2023 19:10,QF2SINSYD45190.479166666745190.7986111111,,
650c3f748386173002aae8f5,04:52.9,EK803,DXB,JED,21/9/2023 11:40,21/9/2023 15:00,EK803DXBJED45190.486111111145190.625,,
650c3f758386173002aae8f6,04:53.4,EK5,DXB,LHR,21/9/2023 11:45,21/9/2023 19:15,EK5DXBLHR45190.489583333345190.8020833333,,
650c3f758386173002aae8f7,04:53.9,EK206,MXP,DXB,21/9/2023 12:05,21/9/2023 18:10,EK206MXPDXB45190.503472222245190.7569444444,,
650c3f768386173002aae8f8,04:54.4,EK91,DXB,MXP,21/9/2023 11:45,21/9/2023 18:30,EK91DXBMXP45190.489583333345190.7708333333,,
650c3f768386173002aae8f9,04:54.9,EK702,MRU,DXB,21/9/2023 12:35,21/9/2023 19:10,EK702MRUDXB45190.524305555645190.7986111111,,
650c3f778386173002aae8fa,04:55.3,BA107,LHR,DXB,21/9/2023 11:55,21/9/2023 19:05,BA107LHRDXB45190.496527777845190.7951388889,,
650c3f778386173002aae8fb,04:55.8,EK131,DXB,DME,21/9/2023 12:15,21/9/2023 17:30,EK131DXBDME45190.510416666745190.7291666667,,
650c3f788386173002aae8fc,04:56.3,EK51,DXB,MUC,21/9/2023 12:30,21/9/2023 18:50,EK51DXBMUC45190.520833333345190.7847222222,,
650c3f788386173002aae8fd,04:56.8,EY20,LHR,AUH,1/1/1970 00:00,1/1/1970 00:00,EY20LHRAUH2556925569,,
650c3f798386173002aae8fe,04:57.0,SQ221,SIN,SYD,21/9/2023 12:20,21/9/2023 19:55,SQ221SINSYD45190.513888888945190.8298611111,,
650c4cd139ed09d0c37d81d1,01:53.3,EK74,CDG,DXB,21/9/2023 13:35,21/9/2023 20:20,EK74CDGDXB45190.565972222245190.8472222222,,
650c4cd639ed09d0c37d81dd,01:58.3,EY20,LHR,AUH,21/9/2023 13:50,21/9/2023 20:55,EY20LHRAUH45190.576388888945190.8715277778,,
650c4cd739ed09d0c37d81df,01:59.3,EK18,MAN,DXB,21/9/2023 13:05,21/9/2023 20:20,EK18MANDXB45190.545138888945190.8472222222,,
650c4cd739ed09d0c37d81e0,01:59.8,EK124,IST,DXB,21/9/2023 13:25,21/9/2023 17:50,EK124ISTDXB45190.559027777845190.7430555556,,
650c4cd839ed09d0c37d81e1,02:00.3,EK319,NRT,DXB,21/9/2023 13:30,22/9/2023 00:10,EK319NRTDXB45190.562545191.0069444444,,
650c4cd839ed09d0c37d81e2,02:00.6,EK98,FCO,DXB,21/9/2023 13:30,21/9/2023 19:10,EK98FCODXB45190.562545190.7986111111,,
650c4cd939ed09d0c37d81e3,02:01.0,EK148,AMS,DXB,21/9/2023 13:20,21/9/2023 19:59,EK148AMSDXB45190.555555555645190.8326388889,,
650c4cd939ed09d0c37d81e4,02:01.5,EK142,MAD,DXB,21/9/2023 13:25,21/9/2023 20:35,EK142MADDXB45190.559027777845190.8576388889,,
650c4cda39ed09d0c37d81e5,02:02.0,EK50,MUC,DXB,21/9/2023 13:40,21/9/2023 19:45,EK50MUCDXB45190.569444444445190.8229166667,,
650c4cda39ed09d0c37d81e6,02:02.5,EK46,FRA,DXB,21/9/2023 13:15,21/9/2023 19:35,EK46FRADXB45190.552083333345190.8159722222,,
650c4cda39ed09d0c37d81e7,02:02.9,EK2,LHR,DXB,21/9/2023 13:20,21/9/2023 20:20,EK2LHRDXB45190.555555555645190.8472222222,,
650c4cdb39ed09d0c37d81e8,02:03.2,EK40,BHX,DXB,21/9/2023 13:40,21/9/2023 20:45,EK40BHXDXB45190.569444444445190.8645833333,,
650c4cdb39ed09d0c37d81e9,02:03.7,EK385,HKG,BKK,21/9/2023 13:30,21/9/2023 16:45,EK385HKGBKK45190.562545190.6979166667,,
650c4cdc39ed09d0c37d81ea,02:04.2,BA213,LHR,BOS,21/9/2023 13:40,21/9/2023 21:00,BA213LHRBOS45190.569444444445190.875,,
650c4cdc39ed09d0c37d81eb,02:04.7,EK28,GLA,DXB,21/9/2023 13:35,21/9/2023 21:05,EK28GLADXB45190.565972222245190.8784722222,,
650c4cdd39ed09d0c37d81ec,02:05.2,EK355,SIN,DXB,21/9/2023 13:40,21/9/2023 20:50,EK355SINDXB45190.569444444445190.8680555556,,
650c4cdd39ed09d0c37d81ed,02:05.7,EK88,ZRH,DXB,21/9/2023 13:25,21/9/2023 19:45,EK88ZRHDXB45190.559027777845190.8229166667,,
650c4cdd39ed09d0c37d81ee,02:05.9,EK78,NCE,DXB,21/9/2023 13:55,21/9/2023 20:10,EK78NCEDXB45190.579861111145190.8402777778,,
650c4cde39ed09d0c37d81ef,02:06.1,LH424,MUC,BOS,21/9/2023 13:35,21/9/2023 21:50,LH424MUCBOS45190.565972222245190.9097222222,,
650c5ab11f1f721d775d60b8,01:05.5,EK134,DME,DXB,21/9/2023 13:55,21/9/2023 19:10,EK134DMEDXB45190.579861111145190.7986111111,,
650c5ab31f1f721d775d60bd,01:07.6,EK16,LGW,DXB,21/9/2023 13:35,21/9/2023 20:40,EK16LGWDXB45190.565972222245190.8611111111,,
650c5ab41f1f721d775d60be,01:08.1,EK421,PER,DXB,21/9/2023 14:20,22/9/2023 01:20,EK421PERDXB45190.597222222245191.0555555556,,
650c5ab41f1f721d775d60bf,01:08.5,QR835,BKK,DOH,21/9/2023 13:00,21/9/2023 19:50,QR835BKKDOH45190.541666666745190.8263888889,,
650c5ab51f1f721d775d60c0,01:09.0,EK752,CMN,DXB,21/9/2023 13:45,21/9/2023 21:15,EK752CMNDXB45190.572916666745190.8854166667,,
650c5ab51f1f721d775d60c1,01:09.5,EK205,MXP,JFK,21/9/2023 14:10,21/9/2023 22:55,EK205MXPJFK45190.590277777845190.9548611111,,
650c5ab51f1f721d775d60c2,01:09.7,EK56,DUS,DXB,21/9/2023 13:25,21/9/2023 19:55,EK56DUSDXB45190.559027777845190.8298611111,,
650c5ab61f1f721d775d60c3,01:10.2,QR4,LHR,DOH,21/9/2023 14:05,21/9/2023 20:50,QR4LHRDOH45190.586805555645190.8680555556,,
650c5ab61f1f721d775d60c4,01:10.6,EK323,ICN,DXB,21/9/2023 14:55,22/9/2023 00:25,EK323ICNDXB45190.621527777845191.0173611111,,
650c5ab61f1f721d775d60c5,01:10.8,QR901,PER,DOH,21/9/2023 15:00,22/9/2023 02:15,QR901PERDOH45190.62545191.09375,,
650c68ce6faec3fa0f5a08b8,01:18.7,EK904,AMM,DXB,21/9/2023 15:00,21/9/2023 18:00,EK904AMMDXB45190.62545190.75,,
650c68d46faec3fa0f5a08c4,01:24.2,EK204,JFK,DXB,21/9/2023 15:20,22/9/2023 03:50,EK204JFKDXB45190.638888888945191.1597222222,,
650c68d46faec3fa0f5a08c5,01:24.7,EK232,IAD,DXB,21/9/2023 14:55,22/9/2023 04:05,EK232IADDXB45190.621527777845191.1701388889,,
650c68d56faec3fa0f5a08c6,01:25.7,EK367,TPE,DXB,21/9/2023 15:35,22/9/2023 00:20,EK367TPEDXB45190.649305555645191.0138888889,,
650c68d66faec3fa0f5a08c7,01:26.2,QF1,SIN,LHR,21/9/2023 15:30,22/9/2023 05:35,QF1SINLHR45190.645833333345191.2326388889,,
650c68d66faec3fa0f5a08c8,01:26.6,SQ322,SIN,LHR,21/9/2023 15:30,22/9/2023 04:55,SQ322SINLHR45190.645833333345191.2048611111,,
650c76f654b119fc1dc35764,01:42.4,EK30,LHR,DXB,21/9/2023 15:50,21/9/2023 22:45,EK30LHRDXB45190.659722222245190.9479166667,,
650c76f654b119fc1dc35765,01:42.9,EK363,CAN,DXB,21/9/2023 16:15,22/9/2023 00:05,EK363CANDXB45190.677083333345191.0034722222,,
